"filename", "language", "Markdown", "XML", "C#", "JSON", "aspnetcorerazor", "HTML", "SQL", "CSS", "JavaScript", "comment", "blank", "total"
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Commands\UpdateProduct\UpdateProductHandler.cs", "C#", 0, 0, 36, 0, 0, 0, 0, 0, 0, 4, 7, 47
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Commands\UpdateProduct\UpdateProductRequest.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 11, 34
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Queries\GetProductCategoriesByPriceRangeAndConnections\GetProductCategoriesByPriceRangeAndConnectionsHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Queries\GetProductCategoriesByPriceRangeAndConnections\GetProductCategoriesByPriceRangeAndConnectionsRequest.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Queries\GetProductCategoriesByPriceRange\GetRangeOfProductHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Queries\GetProductCategoriesByPriceRange\GetRangeOfProductRequest.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Queries\GetProduct\GetProductHandler.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Queries\GetProduct\GetProductRequest.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Queries\GetProductsByGroup\GetProductsBuGroupHandler.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Queries\GetProductsByGroup\GetProductsBuGroupRequest.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Queries\GetRangeOfPoduct\GetRangeOfProductHandler.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\projects\salesImitation\SalesImitation\src\SI.application\Products\Queries\GetRangeOfPoduct\GetRangeOfProductRequest.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\projects\salesImitation\SalesImitation\src\SI.application\SI.application.csproj", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\projects\salesImitation\SalesImitation\src\SI.application\SuperBonus\Commands\ActivateBaseBonus\ActivateBaseBonusHandler.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\projects\salesImitation\SalesImitation\src\SI.application\SuperBonus\Commands\ActivateBaseBonus\ActivateBaseBonusRequest.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\projects\salesImitation\SalesImitation\src\SI.application\SuperBonus\Commands\IncreaseBonus\IncreaseBonusHandler.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\projects\salesImitation\SalesImitation\src\SI.application\SuperBonus\Commands\IncreaseBonus\IncreaseBonusRequest.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\projects\salesImitation\SalesImitation\src\SI.application\SuperBonus\Commands\SaveBaseBonus\SaveBaseBonusHandler.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\projects\salesImitation\SalesImitation\src\SI.application\SuperBonus\Commands\SaveBaseBonus\SaveBaseBonusRequest.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\projects\salesImitation\SalesImitation\src\SI.application\SuperBonus\Queries\GetActiveBonus\GetActiveBonusHandler.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\projects\salesImitation\SalesImitation\src\SI.application\SuperBonus\Queries\GetActiveBonus\GetActiveBonusRequest.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\projects\salesImitation\SalesImitation\src\SI.application\SuperBonus\Queries\GetPendingBonus\GetPendingBonusHandler.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\projects\salesImitation\SalesImitation\src\SI.application\SuperBonus\Queries\GetPendingBonus\GetPendingBonusRequest.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\projects\salesImitation\SalesImitation\src\SI.application\Translations\Commands\SaveAllLanguages\SaveAllLanguagesHandler.cs", "C#", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\projects\salesImitation\SalesImitation\src\SI.application\Translations\Commands\SaveAllLanguages\SaveAllLanguagesRequest.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\projects\salesImitation\SalesImitation\src\SI.application\Translations\ITranslationsRepository.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\projects\salesImitation\SalesImitation\src\SI.application\Translations\ITranslationsService.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\projects\salesImitation\SalesImitation\src\SI.application\Translations\Queries\GetAllLanuages\GetAllLanuagesHandler.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\projects\salesImitation\SalesImitation\src\SI.application\Translations\Queries\GetAllLanuages\GetAllLanuagesRequest.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\projects\salesImitation\SalesImitation\src\SI.application\Translations\TranslationModel.cs", "C#", 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 10, 80
"c:\projects\salesImitation\SalesImitation\src\SI.application\Translations\TranslationsService.cs", "C#", 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 9, 53
"c:\projects\salesImitation\SalesImitation\src\SI.common\Abstractions\Logging\ILogger.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\projects\salesImitation\SalesImitation\src\SI.common\Models\Result.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\projects\salesImitation\SalesImitation\src\SI.common\SI.common.csproj", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Authentication\ICurrentUser.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\DomainEvents\CurrentMissions\CurrentMissionCreated.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\DomainEvents\IDomainEvent.cs", "C#", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\DomainEvents\IDomainEventDispatcher.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Repositories\ICategoryRepository.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Repositories\ICurrentMissionRepository.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Repositories\IMissionRepository.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Repositories\INotificationRepository.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Repositories\IPartnerRepository.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Repositories\IPlayerRepository.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Repositories\IProductRepository.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Repositories\IRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Repositories\ISuperBonusRepository.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Abstractions\Repositories\IUserRepository.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\BaseEntity.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\Category\Category.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\CurrentMission\CurrentMission.cs", "C#", 0, 0, 128, 0, 0, 0, 0, 0, 0, 1, 19, 148
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\CurrentMission\CurrentMissionCategory.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\CurrentMission\CurrentMissionPlayer.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\CurrentMission\CurrentMissionProduct.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\CurrentMission\CurrentMissionStatuses.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\MIssion\MissioinRange.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\MIssion\Mission.cs", "C#", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\MIssion\MissionStatuses.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\Notifications\Notification.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\Notifications\NotificationTypes.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\projects\salesImitation\SalesImitation\src\SI.domain\Entities\Partner\Partner.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 8, 24
